datetime,station_antwerp,station_paris,station_london
2019-05-09 09:00:00,,49.0,35.0
2019-05-09 10:00:00,,32.2,36.0
2019-05-09 11:00:00,,32.3,28.0
2019-05-09 12:00:00,,43.1,27.0
2019-05-09 13:00:00,,34.2,30.0
2019-05-09 14:00:00,,35.1,27.0
2019-05-09 15:00:00,,21.3,34.0
2019-05-09 16:00:00,,24.6,97.0
2019-05-09 17:00:00,,23.9,67.0
2019-05-09 18:00:00,,27.0,60.0
2019-05-09 19:00:00,,29.9,58.0
2019-05-09 20:00:00,,24.4,62.0
2019-05-09 21:00:00,,23.8,59.0
2019-05-09 22:00:00,,29.2,65.0
2019-05-09 23:00:00,,34.5,59.0
2019-05-10 00:00:00,,29.7,59.0
2019-05-10 01:00:00,,26.7,52.0
2019-05-10 02:00:00,,22.7,52.0
2019-05-10 03:00:00,10.5,19.1,41.0
2019-05-10 04:00:00,11.5,14.1,41.0
2019-05-10 05:00:00,,15.0,40.0
2019-05-10 06:00:00,,20.5,40.0
2019-05-10 07:00:00,,37.8,39.0
2019-05-10 08:00:00,,47.4,36.0
2019-05-10 09:00:00,,57.3,39.0
2019-05-10 10:00:00,,60.7,34.0
2019-05-10 11:00:00,,53.4,31.0
2019-05-10 12:00:00,,35.1,29.0
2019-05-10 13:00:00,,23.2,28.0
2019-05-10 14:00:00,,25.3,26.0
2019-05-10 15:00:00,,22.0,25.0
2019-05-10 16:00:00,,29.3,25.0
2019-05-10 17:00:00,,29.6,24.0
2019-05-10 18:00:00,,30.8,26.0
2019-05-10 19:00:00,,37.8,26.0
2019-05-10 20:00:00,,33.4,29.0
2019-05-10 21:00:00,,39.3,29.0
2019-05-10 22:00:00,,43.6,29.0
2019-05-10 23:00:00,,37.0,31.0
2019-05-11 00:00:00,,28.1,31.0
2019-05-11 01:00:00,,26.0,27.0
2019-05-11 02:00:00,,24.8,27.0
2019-05-11 03:00:00,26.5,15.5,32.0
2019-05-11 04:00:00,21.0,14.9,32.0
2019-05-11 05:00:00,,,35.0
2019-05-11 06:00:00,,,35.0
2019-05-11 07:00:00,,,30.0
2019-05-11 08:00:00,,28.9,30.0
2019-05-11 09:00:00,,29.0,27.0
2019-05-11 10:00:00,,32.1,30.0
2019-05-11 11:00:00,,35.7,
2019-05-11 12:00:00,,36.8,
2019-05-11 13:00:00,,33.2,
2019-05-11 14:00:00,,30.2,
2019-05-11 15:00:00,,30.8,
2019-05-11 16:00:00,,17.8,28.0
2019-05-11 17:00:00,,18.0,26.0
2019-05-11 18:00:00,,19.5,28.0
2019-05-11 19:00:00,,32.0,31.0
2019-05-11 20:00:00,,33.1,33.0
2019-05-11 21:00:00,,31.2,33.0
2019-05-11 22:00:00,,24.2,34.0
2019-05-11 23:00:00,,21.1,37.0
2019-05-12 00:00:00,,27.7,37.0
2019-05-12 01:00:00,,26.4,35.0
2019-05-12 02:00:00,,22.8,35.0
2019-05-12 03:00:00,17.5,19.2,38.0
2019-05-12 04:00:00,20.0,17.2,38.0
2019-05-12 05:00:00,,16.0,36.0
2019-05-12 06:00:00,,16.2,36.0
2019-05-12 07:00:00,,19.2,38.0
2019-05-12 08:00:00,,20.1,44.0
2019-05-12 09:00:00,,15.9,32.0
2019-05-12 10:00:00,,14.6,26.0
2019-05-12 11:00:00,,11.7,26.0
2019-05-12 12:00:00,,11.4,21.0
2019-05-12 13:00:00,,11.4,20.0
2019-05-12 14:00:00,,10.9,19.0
2019-05-12 15:00:00,,8.7,21.0
2019-05-12 16:00:00,,9.1,22.0
2019-05-12 17:00:00,,9.6,23.0
2019-05-12 18:00:00,,11.7,24.0
2019-05-12 19:00:00,,13.9,22.0
2019-05-12 20:00:00,,18.2,22.0
2019-05-12 21:00:00,,19.5,22.0
2019-05-12 22:00:00,,24.1,21.0
2019-05-12 23:00:00,,34.2,22.0
2019-05-13 00:00:00,,46.5,22.0
2019-05-13 01:00:00,,32.5,22.0
2019-05-13 02:00:00,,25.0,22.0
2019-05-13 03:00:00,14.5,18.9,24.0
2019-05-13 04:00:00,14.5,18.5,24.0
2019-05-13 05:00:00,,18.9,33.0
2019-05-13 06:00:00,,25.1,33.0
2019-05-13 07:00:00,,38.3,39.0
2019-05-13 08:00:00,,45.2,39.0
2019-05-13 09:00:00,,41.0,31.0
2019-05-13 10:00:00,,32.1,29.0
2019-05-13 11:00:00,,20.6,27.0
2019-05-13 12:00:00,,12.8,26.0
2019-05-13 13:00:00,,9.6,24.0
2019-05-13 14:00:00,,9.2,25.0
2019-05-13 15:00:00,,10.1,26.0
2019-05-13 16:00:00,,10.7,28.0
2019-05-13 17:00:00,,10.6,29.0
2019-05-13 18:00:00,,12.1,30.0
2019-05-13 19:00:00,,13.0,30.0
2019-05-13 20:00:00,,15.5,31.0
2019-05-13 21:00:00,,23.9,31.0
2019-05-13 22:00:00,,28.3,31.0
2019-05-13 23:00:00,,30.4,31.0
2019-05-14 00:00:00,,27.3,31.0
2019-05-14 01:00:00,,22.8,23.0
2019-05-14 02:00:00,,20.9,23.0
2019-05-14 03:00:00,14.5,19.1,26.0
2019-05-14 04:00:00,11.5,19.0,26.0
2019-05-14 05:00:00,,22.1,30.0
2019-05-14 06:00:00,,31.6,30.0
2019-05-14 07:00:00,,38.6,33.0
2019-05-14 08:00:00,,46.1,34.0
2019-05-14 09:00:00,,41.3,33.0
2019-05-14 10:00:00,,28.8,30.0
2019-05-14 11:00:00,,19.0,31.0
2019-05-14 12:00:00,,12.9,27.0
2019-05-14 13:00:00,,11.3,25.0
2019-05-14 14:00:00,,10.2,25.0
2019-05-14 15:00:00,,11.0,25.0
2019-05-14 16:00:00,,15.2,29.0
2019-05-14 17:00:00,,13.4,32.0
2019-05-14 18:00:00,,15.3,33.0
2019-05-14 19:00:00,,17.7,30.0
2019-05-14 20:00:00,,17.9,28.0
2019-05-14 21:00:00,,23.3,27.0
2019-05-14 22:00:00,,28.4,25.0
2019-05-14 23:00:00,,29.0,26.0
2019-05-15 00:00:00,,30.9,26.0
2019-05-15 01:00:00,,24.3,22.0
2019-05-15 02:00:00,,18.8,
2019-05-15 03:00:00,25.5,17.2,22.0
2019-05-15 04:00:00,22.5,16.8,22.0
2019-05-15 05:00:00,,17.9,25.0
